movie_id,title,avg_rating,release_year,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating_norm,rating_discreto,release_year_categoria,cluster
1,Toy Story (1995),3.8783185840707963,1995.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7940189197436679,2,1,3
2,GoldenEye (1995),3.2061068702290076,1995.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6085812055804158,1,1,2
3,Four Rooms (1995),3.033333333333333,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.560919540229885,1,1,1
4,Get Shorty (1995),3.550239234449761,1995.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7035142715723478,2,1,0
5,Copycat (1995),3.302325581395349,1995.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.6351242983159583,1,1,1
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923076923077,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7108753315649867,2,1,1
7,Twelve Monkeys (1995),3.798469387755102,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7719915552427868,2,1,1
8,Babe (1995),3.9954337899543377,1995.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8263265627460242,2,1,0
9,Dead Man Walking (1995),3.8963210702341136,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7989851228232038,2,1,1
10,Richard III (1995),3.831460674157303,1996.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7810925997675319,2,2,1
11,Seven (Se7en) (1995),3.847457627118644,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7855055523085915,2,1,1
12,"Usual Suspects, The (1995)",4.385767790262173,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9340049076585303,2,1,1
13,Mighty Aphrodite (1995),3.4184782608695654,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6671664167916043,1,1,0
14,"Postino, Il (1994)",3.9672131147540983,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8185415488976823,2,1,1
15,Mr. Holland's Opus (1995),3.7781569965870307,1996.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7663881369895257,2,2,1
16,French Twist (Gazon maudit) (1995),3.2051282051282053,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6083112290008842,1,1,0
17,From Dusk Till Dawn (1996),3.119565217391304,1996.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.5847076461769115,1,2,1
18,"White Balloon, The (1995)",2.8,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.496551724137931,0,1,1
19,Antonia's Line (1995),3.9565217391304346,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8155922038980509,2,1,1
20,Angels and Insects (1995),3.4166666666666665,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,1,1,1
21,Muppet Treasure Island (1996),2.761904761904762,1996.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.4860426929392446,0,2,2
22,Braveheart (1995),4.151515151515151,1996.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8693834900731453,2,2,1
23,Taxi Driver (1976),4.1208791208791204,1996.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8609321712769987,2,2,1
24,Rumble in the Bronx (1995),3.4482758620689653,1996.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67538644470868,1,2,2
25,"Birdcage, The (1996)",3.4436860068259385,1996.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6741202777450864,1,2,0
26,"Brothers McMullen, The (1995)",3.452054794520548,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6764289088332546,1,1,0
27,Bad Boys (1995),3.1052631578947367,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5807622504537204,1,1,1
28,Apollo 13 (1995),3.931159420289855,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8085957021489255,2,1,1
29,Batman Forever (1995),2.6666666666666665,1995.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45977011494252873,0,1,2
30,Belle de jour (1967),3.945945945945946,1967.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8126747437092264,2,0,1
31,Crimson Tide (1995),3.6298701298701297,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.7254814151365875,2,1,1
32,Crumb (1994),3.7901234567901234,1994.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7696892294593444,2,1,1
33,Desperado (1995),3.4536082474226806,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6768574475648774,1,1,1
34,"Doom Generation, The (1995)",2.7142857142857144,1995.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4729064039408867,0,1,0
35,Free Willy 2: The Adventure Home (1995),2.1818181818181817,1995.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3260188087774294,0,1,2
36,Mad Love (1995),2.1538461538461537,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3183023872679045,0,1,1
37,Nadja (1994),2.25,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3448275862068966,0,1,1
38,"Net, The (1995)",3.0083333333333333,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5540229885057472,1,1,2
39,Strange Days (1995),3.264367816091954,1995.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6246531906460563,1,1,2
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052633,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5226860254083485,0,1,0
41,Billy Madison (1995),3.081081081081081,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5740913327120224,1,1,0
42,Clerks (1994),3.804054054054054,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7735321528424975,2,1,0
43,Disclosure (1994),3.0,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5517241379310345,1,1,1
44,Dolores Claiborne (1994),3.3417721518987342,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6460061108686164,1,1,1
45,Eat Drink Man Woman (1994),4.05,1994.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8413793103448276,2,1,0
46,Exotica (1994),3.5555555555555554,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7049808429118773,2,1,1
47,Ed Wood (1994),3.601503759398496,1994.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7176562094892404,2,1,0
48,Hoop Dreams (1994),4.094017094017094,1994.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8535219569702327,2,1,1
49,I.Q. (1994),3.3209876543209877,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6402724563644104,1,1,0
50,Star Wars (1977),4.3584905660377355,1977.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.9264801561483408,2,0,2
51,Legends of the Fall (1994),3.45679012345679,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.6777352064708386,1,1,1
52,"Madness of King George, The (1994)",3.769230769230769,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7639257294429708,2,1,1
53,Natural Born Killers (1994),2.953125,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5387931034482758,0,1,1
54,Outbreak (1995),3.2403846153846154,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6180371352785146,1,1,1
55,"Professional, The (1994)",3.704697986577181,1994.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.7461235825040499,2,1,1
56,Pulp Fiction (1994),4.060913705583756,1994.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.844389987747243,2,1,1
57,Priest (1994),4.0,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8275862068965517,2,1,1
58,Quiz Show (1994),3.645714285714286,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7298522167487685,2,1,1
59,Three Colors: Red (1994),4.0602409638554215,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8442044038221853,2,1,1
60,Three Colors: Blue (1993),4.015625,1993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.831896551724138,2,1,1
61,Three Colors: White (1994),3.864406779661017,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7901811805961426,2,1,1
62,Stargate (1994),3.141732283464567,1994.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5908226988867771,1,1,2
63,"Santa Clause, The (1994)",3.097560975609756,1994.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5786375105130361,1,1,0
64,"Shawshank Redemption, The (1994)",4.445229681978798,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9504081881320822,2,1,1
65,What's Eating Gilbert Grape (1993),3.5391304347826087,1993.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7004497751124438,1,1,0
66,While You Were Sleeping (1995),3.549382716049383,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7032779906343125,2,1,0
67,Ace Ventura: Pet Detective (1994),3.0485436893203883,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5651155005021761,1,1,0
68,"Crow, The (1994)",3.417910447761194,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6670097786927431,1,1,1
69,Forrest Gump (1994),3.853582554517134,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7871951874530024,2,1,0
70,Four Weddings and a Funeral (1994),3.6613545816733066,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.734166781151257,2,1,0
71,"Lion King, The (1994)",3.7818181818181817,1994.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7673981191222571,2,1,3
72,"Mask, The (1994)",3.193798449612403,1994.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6051857792034215,1,1,0
73,Maverick (1994),3.46875,1994.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6810344827586207,1,1,0
74,Faster Pussycat! Kill! Kill! (1965),3.0,1965.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5517241379310345,1,0,0
75,Brother Minister: The Assassination of Malcolm X (1994),3.0,1994.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5517241379310345,1,1,1
76,Carlito's Way (1993),3.4074074074074074,1993.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6641123882503193,1,1,1
77,"Firm, The (1993)",3.2781456953642385,1993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6284539849280658,1,1,1
78,Free Willy (1993),2.4545454545454546,1993.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4012539184952978,0,1,2
79,"Fugitive, The (1993)",4.044642857142857,1993.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8399014778325121,2,1,1
80,Hot Shots! Part Deux (1993),2.764705882352941,1993.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.486815415821501,0,1,0
81,"Hudsucker Proxy, The (1994)",3.5545454545454547,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7047021943573668,2,1,0
82,Jurassic Park (1993),3.7203065134099615,1993.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7504293830096446,2,1,2
83,Much Ado About Nothing (1993),4.0625,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8448275862068965,2,1,0
84,Robert A. Heinlein's The Puppet Masters (1994),3.0,1994.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5517241379310345,1,1,2
85,"Ref, The (1994)",3.0344827586206895,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5612366230677764,1,1,0
86,"Remains of the Day, The (1993)",3.94,1993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8110344827586206,2,1,1
87,Searching for Bobby Fischer (1993),3.9057971014492754,1993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8015992003998001,2,1,1
88,Sleepless in Seattle (1993),3.539906103286385,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7006637526307269,1,1,0
89,Blade Runner (1982),4.138181818181818,1982.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.8657053291536049,2,0,2
90,So I Married an Axe Murderer (1993),3.0526315789473686,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5662431941923776,1,1,0
91,"Nightmare Before Christmas, The (1993)",3.5874125874125875,1993.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7137689896310586,2,1,0
92,True Romance (1993),3.6153846153846154,1993.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7214854111405835,2,1,1
93,Welcome to the Dollhouse (1995),3.7232142857142856,1996.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.751231527093596,2,2,0
94,Home Alone (1990),3.0875912408759123,1990.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5758872388623206,1,0,0
95,Aladdin (1992),3.8127853881278537,1992.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7759407967249251,2,0,3
96,Terminator 2: Judgment Day (1991),4.0067796610169495,1991.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8294564582115723,2,0,2
